pos,rho;ad,an,bd,bn,cd,cn,dd,dn,ed,en
1.55949,0.302879;10.0,3.52753,10.0,0.831729,0.1,10.0,0.1,10.0,10.0,0.1
1.56955,0.300984;10.0,3.50117,10.0,1.21551,0.1,10.0,0.1,10.0,10.0,0.1
1.57481,0.304526;1.42003,0.82881,0.168131,0.362163,0.121827,10.0,10.0,0.1,0.1,0.1213
1.57385,0.302415;10.0,3.74983,0.1,10.0,1.118,10.0,0.701835,0.1,10.0,0.445496
1.58265,0.299947;10.0,3.74983,3.2528,10.0,0.497464,10.0,0.1,3.61163,10.0,0.495064
1.58788,0.301642;1.42003,0.82881,0.1,0.1,0.1,10.0,10.0,0.1,0.1,0.11942
1.58931,0.304668;1.42003,0.82881,0.1,0.1,0.1,10.0,10.0,0.251946,0.1,0.1
1.59714,0.303959;2.74604,0.973066,0.1,0.1,0.1,3.31754,0.35437,0.25956,1.8822,0.1
1.60046,0.303978;10.0,3.85467,0.1,10.0,1.118,10.0,0.351419,0.124907,10.0,0.437352
1.60836,0.300119;4.61117,2.47533,0.1,10.0,0.1,10.0,10.0,1.79105,10.0,0.492467
1.61524,0.300872;0.922899,0.396775,0.576327,0.274513,1.04186,9.48095,10.0,4.26781,5.72583,0.1
1.61809,0.304907;10.0,3.57015,1.02465,10.0,0.324459,10.0,0.1,0.1,9.60063,0.1
1.62156,0.302797;1.42003,0.82881,0.1,0.328491,0.1,10.0,10.0,0.1,0.1,0.1
1.62514,0.302968;10.0,3.86239,0.152973,10.0,0.1,10.0,2.46764,1.14675,10.0,0.392645
1.6337,0.30239;6.07932,2.77858,0.1,10.0,0.7021,6.26887,0.1,0.1,10.0,0.1
1.63395,0.303356;10.0,3.86239,0.1,10.0,0.36743,10.0,2.02388,1.14675,10.0,0.338689
1.64496,0.302055;10.0,2.90706,0.203516,9.13453,0.1,0.103463,0.149612,9.56153,10.0,0.105912
